label,region,treatment
Tomato__Tomato_YellowLeaf__Curl_Virus,Europe,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,North America,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,South America,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato__Tomato_YellowLeaf__Curl_Virus,Australia,حذف گیاهان آلوده، ضدعفونی ابزار، کاشت ارقام مقاوم، کنترل ناقلین. کنترل مگس‌سفید: «ایمیداکلوپراید ۳۵٪ SC» دوز: ۰.۵ میلی‌لیتر/لیتر یا «تیامِتوکسام ۲۵٪ WG» دوز: ۰.۲۵–۰.۳ گرم/لیتر. تکرار: ۱۰–۱۴ روز. استفاده از توری حشره‌گیر و مالچ بازتابنده.
Tomato_Bacterial_spot,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Bacterial_spot,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «کوپر اکسی کلراید ۳۵٪ WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: هر ۷ روز. دوره مصرف: ۱۴ روز. در صورت فشار بیماری، مخلوط با «مانکوزب ۸۰٪ WP» (۲ گرم/لیتر).
Tomato_Early_blight,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_Early_blight,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «مانکوزب ۸۰٪ WP». دوز: ۲–۲.۵ گرم در لیتر آب. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. در تناوب با «دیفناکونازول ۱۰٪ EC» (۰.۳ میلی‌لیتر/لیتر).
Tomato_healthy,Asia,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Tomato_healthy,Africa,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Tomato_healthy,Europe,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Tomato_healthy,North America,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Tomato_healthy,South America,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Tomato_healthy,Australia,گیاه سالم است؛ نیازی به مصرف سم نیست. پایش هفتگی، تغذیه متعادل و آبیاری منظم انجام شود.
Tomato_Late_blight,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato_Late_blight,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato_Late_blight,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato_Late_blight,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato_Late_blight,South America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato_Late_blight,Australia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «سیموکسانیل + مانکوزب WP». دوز: ۲ گرم در لیتر آب. فاصله تکرار: ۵–۷ روز. دوره مصرف: ۱۴ روز. در فشار بالا از «متالاکسیل-ام + مانکوزب» طبق برچسب استفاده شود.
Tomato_Leaf_Mold,Asia,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «دیفناکونازول ۱۰٪ EC». دوز: ۰.۳–۰.۵ میلی‌لیتر/لیتر. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. تهویه و کاهش رطوبت برگ‌ها بسیار مهم است.
Tomato_Leaf_Mold,Africa,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «دیفناکونازول ۱۰٪ EC». دوز: ۰.۳–۰.۵ میلی‌لیتر/لیتر. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. تهویه و کاهش رطوبت برگ‌ها بسیار مهم است.
Tomato_Leaf_Mold,Europe,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «دیفناکونازول ۱۰٪ EC». دوز: ۰.۳–۰.۵ میلی‌لیتر/لیتر. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. تهویه و کاهش رطوبت برگ‌ها بسیار مهم است.
Tomato_Leaf_Mold,North America,حذف برگ‌ها/گیاهان آلوده، بهبود تهویه، آبیاری از سطح خاک و نه روی برگ‌ها، تناوب زراعی. دارو: «دیفناکونازول ۱۰٪ EC». دوز: ۰.۳–۰.۵ میلی‌لیتر/لیتر. فاصله تکرار: ۷–۱۰ روز. دوره مصرف: ۱۴ روز. تهویه و کاهش رطوبت برگ‌ها بسیار مهم است.
